Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
232	fg3_m13	1	2.51	6	1	0.0	0.0	0.5508994749444722	-1.5857460371147072	3.254139713893728	-0.01563542867155744	-0.09444334085952336	0.9712	0.4531993880262638	145	7.14	0.05	0.04	12.27	0.42	0.75	33.91	30.31	1.52	1.07	1076	18.56	13.91	76.57	0.13	-1.1	120.32	20.72	0.77	0.68	0.13	0.77	-0.81
233	fg3_m13	1	2.56	6	1	0.0	0.0	0.5556903423055961	-1.4810875191510176	3.544146362059091	0.08996645494204969	-0.17536338240391747	1.1049	0.5166454094159276	151	2.03	0.06	0.03	9.58	0.35	0.66	18.95	22.95	0.96	0.77	912	17.48	20.13	57.1	-0.01	-0.97	120.74	15.03	0.41	0.1	0.01	0.41	-0.88
234	fg3_m13	1	2.59	6	1	0.0	0.0	0.5919417925600361	-1.971409663263332	3.972527223954923	0.08478491456569469	-0.12869693241252192	1.6846	0.4763799213406693	158	2.26	0.06	0.02	14.7	0.32	0.55	15.41	26.22	0.86	0.48	686	11.77	1.2	62.56	0.4	-0.6	130.17	17.18	0.5	-0.34	0.4	0.5	-1.11
242	fg3_m13	0	3.13	6	1	0.0	0.0	0.5855116230106681	-2.0474366272285622	3.647756416892425	-0.008891764159118925	0.004845034689552983	1.7247	0.12887222567592113	210	0.42	0.05	0.03	7.77	0.37	0.65	26.37	37.2	0.68	0.48	670	14.42	0.5	64.04	0.11	-0.85	128.93	14.86	0.36	-0.54	0.11	0.36	-1.18
243	fg3_m13	0	3.62	6	1	0.0	0.0	0.5534006618434512	-1.9551351564177333	3.5066746576190626	-0.03226131686684237	0.003341493907943733	1.4907	0.13743149825254258	217	2.95	0.03	0.03	11.61	0.39	0.69	18.24	16.6	0.96	0.48	837	15.48	8.24	80.44	0.04	-1.05	125.03	15.57	0.36	-0.25	0.04	0.36	-0.75
244	fg3_m13	0	4.6	6	1	0.0	0.0	0.5704491559943368	-2.1303254921841748	3.7597005928878047	-0.035813472041200084	-0.05135909730040532	1.7991	0.12122982153845435	223	1.24	0.04	0.02	10.12	0.41	0.69	11.65	15.22	0.96	0.77	621	14.55	4.29	74.04	-0.03	-0.89	128.72	16.94	0.64	0.03	0.03	0.64	0.19
0	fg3_m12_iso1_rotated	0	0.05	0	1	0.0	0.0	0.492496302497934	-1.783751721437938	2.7857846012873155	-0.05545706476241795	-0.013910920360255659	0.9003	0.07594464297120014	0	1.26	0.02	0.05	9.11	0.72	0.31	6.51	20.63	0.86	0.48	1256	15.03	0.07	79.77	-0.04	-1.14	58.61	16.99	0.27	2.01	0.04	0.27	-0.88
1	fg3_m12_iso1_rotated	0	0.1	0	1	0.0	0.0	0.5030370148385505	-1.7269115924004086	2.6816255143639953	-0.01463382201968707	0.0008609234581556926	0.8355	0.050748338877293256	7	2.54	0.03	0.04	10.17	0.74	0.28	6.61	22.04	1.09	0.48	1256	16.23	3.89	81.74	-0.08	-1.15	58.23	17.73	-0.18	0.66	0.08	0.18	1.06
2	fg3_m12_iso1_rotated	0	0.2	0	1	0.0	0.0	0.4694171893237968	-1.7440916729697649	2.6394835098114813	0.002230028589287294	0.004812406962551879	0.8613	0.04951709668363915	14	1.92	0.03	0.05	9.43	0.76	0.31	4.69	14.97	0.86	0.64	1256	15.57	1.9	80.79	-0.05	-1.16	54.5	17.36	-0.31	1.35	0.05	0.31	-0.92
3	fg3_m12_iso1_rotated	0	0.29	0	1	0.0	0.0	0.5120771721900895	-1.7723274904197082	2.718955440803952	-0.027960502707709237	0.0030390436561717627	0.843	0.06763499821912447	21	0.4	0.04	0.05	10.54	0.77	0.27	6.34	24.57	0.96	0.48	1256	16.03	4.38	81.49	-0.08	-1.16	54.48	15.67	0.06	1.07	0.08	0.06	0.78
4	fg3_m12_iso1_rotated	0	0.39	0	1	0.0	0.0	0.4913956384631502	-1.7369811791047438	2.626529096441801	0.0034528068076732183	0.007352817907329894	0.8622	0.06335400407509763	26	2.25	0.02	0.05	9.22	0.77	0.29	5.95	16.07	0.86	0.48	1256	16.65	4.21	80.94	-0.0	-1.17	54.42	16.63	-0.22	0.93	0.0	0.22	-1.21
5	fg3_m12_iso1_rotated	0	0.49	0	1	0.0	0.0	0.4735068128825005	-1.7072564040024862	2.676447197680656	0.036307056748774234	0.015807747796884344	0.8707	0.11270061113376785	33	5.41	0.03	0.04	10.73	0.76	0.31	9.01	29.89	0.86	0.48	1256	15.47	2.6	82.52	-0.1	-1.14	55.1	16.4	-0.02	1.02	0.1	0.02	0.21
6	fg3_m12_iso1_rotated	0	0.59	0	1	0.0	0.0	0.5103346105958073	-1.7574538337498942	2.732251055096566	0.04460636381798256	0.011067064085725295	0.9273	0.07693773538874668	40	10.44	0.04	0.05	14.75	0.78	0.26	5.87	21.68	0.86	0.64	1256	16.84	0.55	83.94	-0.07	-1.21	54.67	15.49	-0.06	0.94	0.07	0.06	0.35
7	fg3_m12_iso1_rotated	0	0.98	0	1	0.0	0.0	0.5320441626784705	-1.7608632960485795	2.7159619246455176	0.061342176263285725	0.017740336857975773	0.9442	0.1470889560446223	47	1.38	0.02	0.04	9.1	0.77	0.32	5.64	16.29	1.09	0.48	1256	16.01	3.71	82.47	-0.0	-1.17	56.35	14.1	0.23	1.02	0.0	0.23	-0.21
8	fg3_m12_iso1_rotated	0	1.96	0	1	0.0	0.0	0.5285153267734236	-1.8344113830869733	2.905084285362141	0.06856467191175053	0.013558355654753844	1.3759	0.1323934311249201	54	2.97	0.03	0.04	9.24	0.76	0.32	6.29	25.81	0.86	0.48	1256	16.4	4.46	80.56	-0.02	-1.16	57.17	12.11	0.3	0.86	0.02	0.3	1.72
